identifier
10.15131/shef.data.12326300
10.15131/shef.data.13012406
10.15131/shef.data.13026827
10.15131/shef.data.13686208
10.15131/shef.data.14141510
10.15131/shef.data.14237225
10.15131/shef.data.14268119
10.15131/shef.data.14286167
10.15131/shef.data.14428769
10.15131/shef.data.14428787
10.15131/shef.data.14428790
10.15131/shef.data.14428805
10.15131/shef.data.14560761
10.15131/shef.data.14723685
10.15131/shef.data.14900208
10.15131/shef.data.16628989
10.15131/shef.data.9958763
10.17045/sthlmuni.12497396
10.17045/sthlmuni.14769897
10.17608/k6.auckland.12476171
10.17608/k6.auckland.12476177
10.17608/k6.auckland.12502283
10.17608/k6.auckland.12504134
10.17608/k6.auckland.12870686
10.17608/k6.auckland.12980831
10.17608/k6.auckland.13345196
10.17608/k6.auckland.14616969
10.17608/k6.auckland.16632754
10.17608/k6.auckland.16946011
10.17608/k6.auckland.16968478
10.17608/k6.auckland.17118662
10.17608/k6.auckland.19105496
10.17608/k6.auckland.19372769
10.17608/k6.auckland.19635138
10.17608/k6.opmcsa.7723232
10.25385/zuyd.16782985
10.25405/data.ncl.14386805
10.25405/data.ncl.16586417
10.25416/edgehill.14999127
10.25416/edgehill.17086616
10.25416/edgehill.17122043
10.25417/uic.13143212
10.25417/uic.13157720
10.25417/uic.13315283
10.25417/uic.13653143
10.25417/uic.13653149
10.25417/uic.13693678
10.25417/uic.14597814
10.25417/uic.15159393
10.25417/uic.15183453
10.25417/uic.16416801
10.25417/uic.16783768
10.25417/uic.16783819
10.25417/uic.16823335
10.25417/uic.16861954
10.25417/uic.16918951
10.25417/uic.16919080
10.25417/uic.16924351
10.25417/uic.16924396
10.25417/uic.17035850
10.25417/uic.17124200
10.25417/uic.17124218
10.25417/uic.17124230
10.25417/uic.17124254
10.25417/uic.17124281
10.25417/uic.18038660
10.25417/uic.18039560
10.25417/uic.18040811
10.25417/uic.18046424
10.25417/uic.18047966
10.25417/uic.18048578
10.25417/uic.18054395
10.25417/uic.18054776
10.25417/uic.18055355
10.25417/uic.18055703
10.25417/uic.18056252
10.25417/uic.18634961
10.25417/uic.19137902
10.25417/uic.19686468
10.25419/rcsi.10769726
10.25419/rcsi.10770080
10.25419/rcsi.10798769
10.25419/rcsi.16930006
10.25419/rcsi.16954909
10.25419/rcsi.16955287
10.25419/rcsi.16962358
10.25419/rcsi.16964788
10.25439/rmt.19027958
10.25439/rmt.19304123
10.25439/rmt.19586767
10.25439/rmt.19586770
10.25439/rmt.19614009
10.25439/rmt.19614012
10.25439/rmt.19614015
10.25439/rmt.19614018
10.25439/rmt.19614021
10.25439/rmt.19614024
10.25439/rmt.19614027
10.25439/rmt.19614030
10.25439/rmt.19614033
10.25439/rmt.19614036
10.25439/rmt.19614039
10.25439/rmt.19614045
10.25439/rmt.19614048
10.25439/rmt.19614051
10.25439/rmt.19614054
10.25439/rmt.19614057
10.25439/rmt.19614060
10.25439/rmt.19614063
10.25439/rmt.19614066
10.25439/rmt.19614069
10.25439/rmt.19614072
10.25439/rmt.19614075
10.25439/rmt.19614078
10.25439/rmt.19976126
10.25439/rmt.20113526
10.25946/20064761
10.25946/20076200
10.25946/20076263
10.25946/20288994
10.26091/esrnz.17193356
10.26180/13101491
10.26180/13289318
10.26180/14562324
10.26180/14603280
10.26180/14821791
10.26180/14825604
10.26180/17193167
10.26180/19679769
10.26180/5b6bd8d967e80
10.26180/5b6bdb4eae182
10.26180/5c47fd2126e8b
10.26180/5e1e6059a7c0e
10.26180/5e68ba1913111
10.26180/5edb178961d68
10.26180/5edb35183074f
10.26180/5edde9f0a7a9d
10.26180/5f212908c7f2c
10.26180/5f3335c306a3b
10.26180/5f3de6bbefbec
10.26180/5f3de88da4060
10.26180/5f3debbf5ca6e
10.26181/14452587
10.26181/16959025
10.26181/16960684
10.26181/16960705
10.26181/17169089
10.26181/19288376
10.26181/19407215
10.26181/19690432
10.26181/19701715
10.26181/19701799
10.26181/20191112
10.26181/5b84e8af52b61
10.26181/5b84ebd47b944
10.26181/5b97376578a11
10.26181/5c12ea151c192
10.26181/5c3d64c04f071
10.26181/5f0422ba95bd9
10.26181/5f20f14745abe
10.26181/5f3380a0d048a
10.26181/5f585f483a2e2
10.26181/5fb1a2892b629
10.26181/5fb336b6a9fec
10.26181/5fbc73d41425c
10.26181/5fc071f59d92a
10.26181/5fc074dd35b8e
10.26181/5fc858d502df7
10.26181/5fc9a6bc02252
10.26181/5fd04054577e4
10.26181/5ff67526a028e
10.26181/60077a9e4653b
10.26181/6010fad9b244b
10.26181/601100156e419
10.26181/6011294b406d9
10.26181/60112d78eeffe
10.26181/603c274e3663f
10.26181/605914d9aabe4
10.26181/611dfcf12c6a9
10.26188/19395581
10.26188/623be75924913
10.32920/19519975
10.32920/19522141
10.4225/03/57f2f83132150
10.4225/03/5810313fd6f9c
10.4225/03/581032b5c6050
10.4225/03/5810354213f23
10.4225/03/58103aae606b1
10.4225/03/58103c9ea15d9
10.4225/03/58103d9746553
10.4225/03/58103ed2df2be
10.4225/03/5a178ff171cb5
10.4225/03/5af24b0a8ee51
10.4225/03/5b160ad26c1a2
10.4225/03/5b163171d11f8
10018/1024898
10018/1024921
10018/1044174
10018/1219773
10018/1220543
10018/1220896
10018/1224326
10018/1233784
10018/1246914
10018/1246959
10018/1254540
10018/1271265
10018/1311868
10018/1318491
10018/1319467
10018/23701
10018/41484
10018/42741
10018/42743
10018/42745
10018/42747
10018/56395
10018/917015
10018/918370
10018/919713
10018/919721
10018/919731
10018/919741
10018/919752
10018/919762
10018/919893
