id,name,size,is_link_only,download_url,supplied_md5,computed_md5,item_id
40555781,Demato-Ontology.zip,3276,FALSE,https://ndownloader.figshare.com/files/40555781,79d8a8d390f0808cb02fa94d825e565f,79d8a8d390f0808cb02fa94d825e565f,22812674
40554335,MaLCons.zip,54326546,FALSE,https://ndownloader.figshare.com/files/40554335,a26501fb185075d90e5be1daf1755a8d,a26501fb185075d90e5be1daf1755a8d,22812392
40553900,irt_config.yml,228,FALSE,https://ndownloader.figshare.com/files/40553900,e7d9a80bf0407973f8628a834b56d566,e7d9a80bf0407973f8628a834b56d566,20368035
40553903,irt_model.json,5424,FALSE,https://ndownloader.figshare.com/files/40553903,6dc97543245e95c1eaa2d2dc0e2c3c32,6dc97543245e95c1eaa2d2dc0e2c3c32,20368035
40553906,irt_model.yml,5359,FALSE,https://ndownloader.figshare.com/files/40553906,0a66b01fa94f2e0971292d3ba6a16f99,0a66b01fa94f2e0971292d3ba6a16f99,20368035
40553909,prosit_delta_v1.json,237959287,FALSE,https://ndownloader.figshare.com/files/40553909,cbc0f24a417702d9614c7f40589b6adc,cbc0f24a417702d9614c7f40589b6adc,20368035
40553915,prosit_delta_v1.pkl,124909806,FALSE,https://ndownloader.figshare.com/files/40553915,ce9c4545ea397a4e9db830faae003d3a,ce9c4545ea397a4e9db830faae003d3a,20368035
40553918,spectra_config.yml,957,FALSE,https://ndownloader.figshare.com/files/40553918,0a0334ac6a8c892a7ecadac04cb7840c,0a0334ac6a8c892a7ecadac04cb7840c,20368035
40553921,spectra_model.json,9106,FALSE,https://ndownloader.figshare.com/files/40553921,28fa49b0dfa1fdeac5f3dd6608a6e5f6,28fa49b0dfa1fdeac5f3dd6608a6e5f6,20368035
40553924,spectra_model.yml,9237,FALSE,https://ndownloader.figshare.com/files/40553924,b2409d27881a95126f14b89c23b82d4d,b2409d27881a95126f14b89c23b82d4d,20368035
40553927,weight_66_0.00796.hdf5,27485248,FALSE,https://ndownloader.figshare.com/files/40553927,12c847c94ecdaf7b216e1e48ddc2dda3,12c847c94ecdaf7b216e1e48ddc2dda3,20368035
40553930,weight_163_0.11385.hdf5,43366356,FALSE,https://ndownloader.figshare.com/files/40553930,10b8e7fd6514b40a50a2362456c2ddbf,10b8e7fd6514b40a50a2362456c2ddbf,20368035
40553732,rat-and-human-comparative-development.zip,170416,FALSE,https://ndownloader.figshare.com/files/40553732,66cdaede04f55356b500ad33af771404,66cdaede04f55356b500ad33af771404,22812059
40533740,Two_and_Three_Population_MET_Model.zip,22262,FALSE,https://ndownloader.figshare.com/files/40533740,ba722468149749d8593650c19d0d8655,ba722468149749d8593650c19d0d8655,22801355
40547099,multiPrime.zip,54701775,FALSE,https://ndownloader.figshare.com/files/40547099,e55b36ef2cc5f86f8f7dd1023c1fc49b,e55b36ef2cc5f86f8f7dd1023c1fc49b,22807247
40544054,enhlink_osx_arm64_v0.20.8.tar.gz,5082508,FALSE,https://ndownloader.figshare.com/files/40544054,33e13049da0cecfd5cae1342f698a59e,33e13049da0cecfd5cae1342f698a59e,22807103
40544057,enhlink_linux_amd64_v0.20.8.tar.gz,5359040,FALSE,https://ndownloader.figshare.com/files/40544057,f242f091859b2f8351e089eb22185608,f242f091859b2f8351e089eb22185608,22807103
40543649,cav2023_artifact.zip,9839966029,FALSE,https://ndownloader.figshare.com/files/40543649,87684cbfe4cc1bc9a0ffc28a16e684b8,87684cbfe4cc1bc9a0ffc28a16e684b8,22679485
40458830,Manual_StoManager1_v0504.23.pdf,4271356,FALSE,https://ndownloader.figshare.com/files/40458830,020c52bd508b1a950e68913cc5c68794,020c52bd508b1a950e68913cc5c68794,22205020
40466213,Toy dataset.rar,109856476,FALSE,https://ndownloader.figshare.com/files/40466213,1dccccd66e629b8d5dbbebd5d9878f06,1dccccd66e629b8d5dbbebd5d9878f06,22205020
40543571,StoManager1_v8_CPU_0511.rar,793063840,FALSE,https://ndownloader.figshare.com/files/40543571,b99a4319ad1c81edf1daefa6f45b95be,b99a4319ad1c81edf1daefa6f45b95be,22205020
40543577,StoManager1_v8_GPU_CUDA117_0511.rar,2010261843,FALSE,https://ndownloader.figshare.com/files/40543577,89e7a25bbea67762703160992b26d2d3,89e7a25bbea67762703160992b26d2d3,22205020
36482961,DistractionAnalysis.Rmd,28228,FALSE,https://ndownloader.figshare.com/files/36482961,1e9a4caf4a2c657533aad91f35280ffa,1e9a4caf4a2c657533aad91f35280ffa,20405649
39642436,Design file 1.cst,44562,FALSE,https://ndownloader.figshare.com/files/39642436,97b1a870331bec489edb59282042804f,97b1a870331bec489edb59282042804f,22292380
40535408,CAV330-artifact.zip,935266406,FALSE,https://ndownloader.figshare.com/files/40535408,5006ea48d9beb5afe184e323c7535dc9,5006ea48d9beb5afe184e323c7535dc9,22678798
40533530,Glob2Loc_Code.R,105303,FALSE,https://ndownloader.figshare.com/files/40533530,363e17e8411dac06203bc6452f132919,363e17e8411dac06203bc6452f132919,22794107
40522052,adjpdr_cav23.zip,854821916,FALSE,https://ndownloader.figshare.com/files/40522052,951904062568c884819ffff5de7ce121,951904062568c884819ffff5de7ce121,22707718
40521662,VR_Omics_11_05.zip,5302772623,FALSE,https://ndownloader.figshare.com/files/40521662,4373b174acf88323aa893f5814af133a,4373b174acf88323aa893f5814af133a,20220312
40521665,VR_Omics_Release_Notes.txt,2223,FALSE,https://ndownloader.figshare.com/files/40521665,3f83ce10b066f4651332752fd89ac4d0,3f83ce10b066f4651332752fd89ac4d0,20220312
40521281,miRNA_zhengdayi_code.py,8395,FALSE,https://ndownloader.figshare.com/files/40521281,f58fb19c2ee346187871d3d9c3f2b6cf,f58fb19c2ee346187871d3d9c3f2b6cf,22799870
40515665,nl2spec_artifact.zip,342815674,FALSE,https://ndownloader.figshare.com/files/40515665,255e48aee2d541db9f601c5b5014b203,255e48aee2d541db9f601c5b5014b203,22721161
40515647,QualiTOOL_v8 - 10.05.23.xlsm,5401287,FALSE,https://ndownloader.figshare.com/files/40515647,8eefb21177841d0fb639faf9e4a2bdd5,8eefb21177841d0fb639faf9e4a2bdd5,14077166
40510115,cluseek 1.0.0 source.zip,602863,FALSE,https://ndownloader.figshare.com/files/40510115,76d32a996797c2848c9fb977bceb6444,76d32a996797c2848c9fb977bceb6444,22795409
40458458,Putera_MatlabCode_CommBiol.zip,14788,FALSE,https://ndownloader.figshare.com/files/40458458,c6becc93f3365795438e431e4bce1e5a,c6becc93f3365795438e431e4bce1e5a,22771094
