id,title,parent_id,path,source_id,taxonomy_id,item_id
24955,Quantity surveying,24934,/24895/24934/24955,330207,100,22773653
24913,Architectural science and technology,24898,/24895/24898/24913,330105,100,22773638
24946,Building information modelling and management,24934,/24895/24934/24946,330204,100,22773638
24952,"Building science, technologies and systems",24934,/24895/24934/24952,330206,100,22773638
24955,Quantity surveying,24934,/24895/24934/24955,330207,100,22773638
24937,Automation and technology in building and construction,24934,/24895/24934/24937,330201,100,22773638
24235,Terrestrial ecology,24211,/24130/24211/24235,310308,100,22770725
24232,Population ecology,24211,/24130/24211/24232,310307,100,22770725
29179,Automated software engineering,29176,/28798/29176/29179,461201,100,22758398
29188,Programming languages,29176,/28798/29176/29188,461204,100,22758398
26860,Other engineering not elsewhere classified,26848,/26212/26848/26860,409999,100,22762133
25258,Computational chemistry,25255,/25066/25255/25258,340701,100,21904629
25270,Theoretical and computational chemistry not elsewhere classified,25255,/25066/25255/25270,340799,100,21904629
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22634470
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22758269
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22759076
24205,Translational and applied bioinformatics,24181,/24130/24181/24205,310208,100,22759076
24634,Immunology not elsewhere classified,24604,/24457/24604/24634,320499,100,22759076
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22633606
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22634416
30334,Cognitive neuroscience,30325,/30292/30325/30334,520203,100,22740353
29131,Informetrics,29116,/28798/29116/29131,461005,100,22758374
30130,"Photonics, optoelectronics and optical communications",30118,/30082/30118/30130,510204,100,22730864
24172,Synthetic biology,24133,/24130/24133/24172,310113,100,22728758
26539,Engineering practice,26530,/26212/26530/26539,401003,100,22745585
30172,Soft condensed matter,30157,/30082/30157/30172,510405,100,22746596
29215,Computational logic and formal languages,29206,/28798/29206/29215,461303,100,22717525
24217,Community ecology (excl. invasive species ecology),24211,/24130/24211/24217,310302,100,22737086
24232,Population ecology,24211,/24130/24211/24232,310307,100,22737086
24235,Terrestrial ecology,24211,/24130/24211/24235,310308,100,22737086
29185,Formal methods for software,29176,/28798/29176/29185,461203,100,22734839
29215,Computational logic and formal languages,29206,/28798/29206/29215,461303,100,22734839
29245,Communication studies,29242,/29239/29242/29245,470101,100,22734137
24226,Marine and estuarine ecology (incl. marine ichthyology),24211,/24130/24211/24226,310305,100,22717873
24232,Population ecology,24211,/24130/24211/24232,310307,100,22717873
24358,Microbial ecology,24349,/24130/24349/24358,310703,100,22717873
26887,Biosecurity science and invasive species ecology,26881,/26863/26881/26887,410202,100,22732652
29185,Formal methods for software,29176,/28798/29176/29185,461203,100,22732115
29215,Computational logic and formal languages,29206,/28798/29206/29215,461303,100,22732115
