,title
1051,Animal physiology - biophysics
1052,Human biophysics
1053,Oncology and carcinogenesis not elsewhere classified
1054,Animal behaviour
1055,Information systems not elsewhere classified
1056,"Other commerce, management, tourism and services not elsewhere classified"
1057,Applied statistics
1058,Biological mathematics
1059,Biostatistics
1060,Anaesthesiology
1061,Immunology not elsewhere classified
1062,Gene expression (incl. microarray and other genome-wide approaches)
1063,Clinical microbiology
1064,Cellular immunology
1065,Biological mathematics
1066,Biostatistics
1067,Applied statistics
1068,Applied statistics
1069,Biological mathematics
1070,Biostatistics
1071,Applied statistics
1072,Biostatistics
1073,Biological mathematics
1074,Animal behaviour
1075,Behavioural ecology
1076,Agricultural biotechnology not elsewhere classified
1077,Community ecology (excl. invasive species ecology)
1078,Population ecology
1079,Terrestrial ecology
1080,Vertebrate biology
1081,Zoology not elsewhere classified
1082,Oncology and carcinogenesis not elsewhere classified
1083,Cancer cell biology
1084,Clinical microbiology
1085,Nutrition and dietetics not elsewhere classified
1086,Natural language processing
1087,Animal behaviour
1088,Animal developmental and reproductive biology
1089,Behavioural ecology
1090,Biological adaptation
1091,Community ecology (excl. invasive species ecology)
1092,Zoology not elsewhere classified
1093,Ecosystem function
1094,Hydrology not elsewhere classified
1095,Climatology
1096,Conservation and biodiversity
1097,Biosecurity science and invasive species ecology
1098,Mechanical engineering not elsewhere classified
1099,Gender psychology
1100,Community psychology
1101,Social psychology
1102,Gender psychology
1103,Community psychology
1104,Social psychology
1105,Gender psychology
1106,Community psychology
1107,Social psychology
1108,Chemical engineering design
1109,Chemical engineering not elsewhere classified
1110,Chemical engineering not elsewhere classified
1111,Chemical engineering design
1112,Agricultural engineering
1113,Oncology and carcinogenesis not elsewhere classified
1114,Cancer cell biology
1115,Animal physiology - biophysics
1116,Human biophysics
1117,Applied statistics
1118,Biological mathematics
1119,Biostatistics
1120,Bioinformatics and computational biology not elsewhere classified
1121,Genomics and transcriptomics
1122,Epidemiology not elsewhere classified
1123,Public health not elsewhere classified
1124,Image processing
1125,Public health not elsewhere classified
1126,Health services and systems not elsewhere classified
1127,Biostatistics
1128,Modelling and simulation
1129,Behavioural ecology
1130,Ecological physiology
1131,Evolutionary ecology
1132,Animal physiological ecology
1133,Environmental assessment and monitoring
1134,Landscape ecology
1135,Urban analysis and development
1136,Urban planning and health
1137,Bioinformatics and computational biology not elsewhere classified
1138,Behavioural ecology
1139,Neurology and neuromuscular diseases
1140,Conservation and biodiversity
1141,Stellar astronomy and planetary systems
1142,General relativity and gravitational waves
1143,Conservation and biodiversity
1144,Genomics and transcriptomics
1145,Sequence analysis
1146,Evolutionary biology not elsewhere classified
1147,Terrestrial ecology
1148,Biogeography and phylogeography
1149,Assistive robots and technology
1150,Automation engineering
1151,Field robotics
1152,Manufacturing robotics
1153,Epidemiological methods
1154,Epidemiological methods
1155,Epidemiological methods
1156,Human-computer interaction
1157,Virtual and mixed reality
1158,Animal developmental and reproductive biology
1159,Animal physiological ecology
1160,Animal behaviour
1161,Behavioural ecology
1162,Philosophy of science (excl. history and philosophy of specific fields)
1163,Communication technology and digital media studies
1164,Media studies
1165,Communication studies
1166,Ecological physiology
1167,Applied computing not elsewhere classified
1168,Personality and individual differences
1169,Social psychology
1170,Cognitive neuroscience
1171,Stellar astronomy and planetary systems
1172,Sport and exercise psychology
1173,Mental health services
1174,Contaminant hydrology
1175,Ecohydrology
1176,Groundwater hydrology
1177,Hydrology not elsewhere classified
1178,Surface water hydrology
1179,Urban hydrology
1180,Developmental genetics (incl. sex determination)
1181,Contaminant hydrology
1182,Ecohydrology
1183,Groundwater hydrology
1184,Hydrology not elsewhere classified
1185,Surface water hydrology
1186,Urban hydrology
1187,Contaminant hydrology
1188,Ecohydrology
1189,Groundwater hydrology
1190,Hydrology not elsewhere classified
1191,Surface water hydrology
1192,Urban hydrology
1193,Electronic sensors
1194,"Electronic device and system performance evaluation, testing and simulation"
1195,Industrial electronics
1196,Radio frequency engineering
1197,Atmospheric dynamics
1198,Stellar astronomy and planetary systems
1199,Galactic astronomy
1200,Health informatics and information systems
1201,Evolutionary biology not elsewhere classified
1202,Health informatics and information systems
1203,Health informatics and information systems
1204,Health informatics and information systems
1205,Information systems organisation and management
1206,Stellar astronomy and planetary systems
1207,"Control engineering, mechatronics and robotics not elsewhere classified"
1208,Archaeology not elsewhere classified
1209,"Other history, heritage and archaeology not elsewhere classified"
1210,"Archaeology of Europe, the Mediterranean and the Levant"
1211,Other human society not elsewhere classified
1212,"Humanities and social sciences curriculum and pedagogy (excl. economics, business and management)"
1213,Condensed matter modelling and density functional theory
1214,Other education not elsewhere classified
1215,Ecological applications not elsewhere classified
1216,Ecological impacts of climate change and ecological adaptation
1217,Environmental rehabilitation and restoration
1218,Environmental geography
1219,Clinical sciences not elsewhere classified
1220,Heliophysics and space weather
1221,Bacteriology
1222,Bacteriology
1223,Bacteriology
1224,Bacteriology
1225,Bacteriology
1226,Bacteriology
1227,Microbiology not elsewhere classified
1228,Bacteriology
1229,Bacteriology
1230,Bacteriology
1231,Phylogeny and comparative analysis
1232,Tribology
1233,Acoustics and acoustical devices; waves
1234,Tribology
1235,Acoustics and acoustical devices; waves
1236,Tribology
1237,Acoustics and acoustical devices; waves
1238,Tribology
1239,Acoustics and acoustical devices; waves
1240,Public health not elsewhere classified
1241,"Dynamics, vibration and vibration control"
1242,Mathematical aspects of general relativity
1243,"Mathematical aspects of quantum and conformal field theory, quantum gravity and string theory"
1244,Lasers and quantum electronics
1245,"Photonics, optoelectronics and optical communications"
1246,Nonlinear optics and spectroscopy
1247,Evolution of developmental systems
1248,Biomechanical engineering
1249,Assistive robots and technology
1250,Biomechatronics
1251,Control engineering
1252,Mechatronics hardware design and architecture
1253,"Simulation, modelling, and programming of mechatronics systems"
1254,Medical robotics
1255,Music performance
1256,Urban geography
1257,Communication technology and digital media studies
1258,Public participation and community engagement
1259,Community planning
1260,Food and hospitality services
1261,Social and cultural anthropology
1262,Curriculum and pedagogy theory and development
1263,Autonomous vehicle systems
1264,Field robotics
1265,Computer vision
1266,Marine and estuarine ecology (incl. marine ichthyology)
1267,Community ecology (excl. invasive species ecology)
1268,Wireless communication systems and technologies (incl. microwave and millimetrewave)
1269,Phylogeny and comparative analysis
1270,Industrial and organisational psychology (incl. human factors)
1271,Specialist studies in education not elsewhere classified
1272,Industrial and organisational psychology (incl. human factors)
1273,Sociology and social studies of science and technology
1274,Media studies
1275,Communication studies
1276,Wastewater treatment processes
1277,Fluid mechanics and thermal engineering not elsewhere classified
1278,Water resources engineering
1279,"European history (excl. British, classical Greek and Roman)"
1280,Terrestrial ecology
1281,Wireless communication systems and technologies (incl. microwave and millimetrewave)
1282,Sociology and social studies of science and technology
1283,Media studies
1284,Communication studies
1285,Other engineering not elsewhere classified
1286,Water resources engineering
1287,Microbial ecology
1288,Social geography
1289,Human geography not elsewhere classified
1290,Development geography
1291,Environmental geography
1292,Political geography
1293,Audio processing
1294,Speech recognition
1295,Biomaterials
1296,Water resources engineering
1297,Condensed matter physics not elsewhere classified
1298,Quantum optics and quantum optomechanics
1299,Quantum technologies
1300,Terrestrial ecology
1301,Ecology not elsewhere classified
1302,Community ecology (excl. invasive species ecology)
1303,Biogeography and phylogeography
1304,Speciation and extinction
1305,Microbiology not elsewhere classified
1306,Microbiology not elsewhere classified
1307,"Photonic and electro-optical devices, sensors and systems (excl. communications)"
1308,Physical Chemistry (incl. Structural)
1309,Quantum Physics
1310,"Atomic, Molecular, Nuclear, Particle and Plasma Physics"
1311,Ground Transport
1312,Other Environmental Sciences
1313,Water Transport
1314,Other Earth Sciences
1315,Other Environment
1316,Physical and Chemical Conditions of Water
1317,Chemical Engineering
1318,Physical Chemistry (incl. Structural)
1319,Other Construction
1320,Civil Engineering
1321,Mechanical Engineering
1322,Mechanical Engineering
1323,Other Earth Sciences
1324,Ecosystem Assessment and Management
1325,Environmental and Natural Resource Evaluation
1326,Natural Hazards
1327,Other Environment
1328,Mechanical Engineering
1329,Human Movement and Sports Science
1330,Civil Engineering
1331,Mechanical Engineering
1332,Plant Biology
1333,Genetics
1334,Plant Biology
1335,Biochemistry and Cell Biology
1336,Optical Physics
1337,Aerospace Engineering
1338,Forestry Sciences
1339,Theoretical and Computational Chemistry
1340,Macromolecular and Materials Chemistry
1341,Computer Software
1342,Other Information and Computing Sciences
1343,Communication Networks and Services
1344,Other Engineering
1345,Interdisciplinary Engineering
1346,Environmental Engineering
1347,Engineering Design
1348,Design Practice and Management
1349,Ground Transport
1350,Ground Transport
1351,Macromolecular and Materials Chemistry
1352,Physical Chemistry (incl. Structural)
1353,Mechanical Engineering
1354,Other Built Environment and Design
1355,Engineering Design
1356,Urban and Regional Planning
1357,Clinical Sciences
1358,Chemical Engineering
1359,Inorganic Chemistry
1360,Organic Chemistry
1361,Geophysics
1362,Physical Geography and Environmental Geoscience
1363,Atmospheric Sciences
1364,Other Physical Sciences
1365,Civil Engineering
1366,Atmospheric Sciences
1367,Aerospace Engineering
1368,Aerospace Engineering
1369,Medical Physiology
1370,Clinical Sciences
1371,Renewable Energy
1372,Aerospace Engineering
1373,Civil Engineering
1374,Land and Water Management
1375,Physical Geography and Environmental Geoscience
1376,Other Agricultural and Veterinary Sciences
1377,Physiology
1378,Ecology
1379,Plant Biology
1380,Econometrics
1381,Applied Economics
1382,Geochemistry
1383,Chemical Engineering
1384,Civil Engineering
1385,Mechanical Engineering
1386,Aerospace Engineering
1387,Geophysics
1388,Artificial Intelligence and Image Processing
1389,Interdisciplinary Engineering
1390,Civil Engineering
1391,Ground Transport
1392,Oncology and Carcinogenesis
1393,Artificial Intelligence and Image Processing
1394,Artificial Intelligence and Image Processing
1395,Artificial Intelligence and Image Processing
1396,Artificial Intelligence and Image Processing
1397,Artificial Intelligence and Image Processing
1398,Artificial Intelligence and Image Processing
1399,Quantum Physics
1400,Ground Transport
1401,Interdisciplinary Engineering
1402,Engineering Design
1403,Terrestrial ecology
1404,Freshwater ecology
1405,Marine and estuarine ecology (incl. marine ichthyology)
1406,Ecological impacts of climate change and ecological adaptation
1407,Volcanology
1408,Volcanology
1409,Solar system planetary science (excl. planetary geology)
1410,Atmospheric sciences not elsewhere classified
1411,Virology
1412,Genomics
1413,Epidemiology not elsewhere classified
1414,Public health not elsewhere classified
1415,Immunology not elsewhere classified
1416,Health policy
1417,Computer vision
1418,Computational imaging
1419,Neural networks
1420,Cell physiology
1421,Medical physiology not elsewhere classified
1422,Language documentation and description
1423,Classical and physical optics
1424,Climate change processes
1425,Ecological impacts of climate change and ecological adaptation
1426,Agricultural hydrology
1427,Agricultural spatial analysis and modelling
1428,Agricultural production systems simulation
1429,Agro-ecosystem function and prediction
1430,Crop and pasture biomass and bioproducts
1431,Sociolinguistics
1432,"Historical, comparative and typological linguistics"
1433,"Linguistic structures (incl. phonology, morphology and syntax)"
1434,Population trends and policies
1435,Other chemical sciences not elsewhere classified
1436,Communication technology and digital media studies
1437,Communication studies
1438,Industrial marketing
1439,Marketing not elsewhere classified
1440,Agricultural economics
1441,Neurosciences not elsewhere classified
1442,"Horticultural crop protection (incl. pests, diseases and weeds)"
1443,Landscape ecology
1444,Ecology not elsewhere classified
1445,Ecology not elsewhere classified
1446,Carbon sequestration science
1447,Other engineering not elsewhere classified
1448,Geology not elsewhere classified
1449,Environmental management
1450,Ecology not elsewhere classified
1451,"Atomic, molecular and optical physics not elsewhere classified"
1452,Other physical sciences not elsewhere classified
1453,Ecological impacts of climate change and ecological adaptation
1454,Ecology not elsewhere classified
1455,Environmental management
1456,English language
1457,"Linguistic structures (incl. phonology, morphology and syntax)"
1458,Ecosystem function
1459,Ecology not elsewhere classified
1460,Ecological impacts of climate change and ecological adaptation
1461,Hydrology not elsewhere classified
1462,Ecological physiology
1463,Global change biology
1464,Plant physiology
1465,Ecology not elsewhere classified
1466,Ecological impacts of climate change and ecological adaptation
1467,Ecosystem function
1468,Computational linguistics
1469,English language
1470,Climate change processes
1471,Ecological impacts of climate change and ecological adaptation
1472,Hydrology not elsewhere classified
1473,Palaeoclimatology
1474,Climatology
1475,Hydrology not elsewhere classified
1476,Planetary geology
1477,Planetary science (excl. solar system and planetary geology)
1478,Animal physiological ecology
1479,North American literature
1480,Literature in Spanish and Portuguese
1481,English language
1482,Animal behaviour
1483,Evolutionary biology not elsewhere classified
1484,Neurosciences not elsewhere classified
1485,Ecosystem function
1486,Linguistics not elsewhere classified
1487,Plant biology not elsewhere classified
1488,Soil sciences not elsewhere classified
1489,Other environmental sciences not elsewhere classified
1490,Planetary geology
1491,Planetary science (excl. solar system and planetary geology)
1492,"Business information management (incl. records, knowledge and intelligence)"
1493,Marketing not elsewhere classified
1494,Other economics not elsewhere classified
1495,Human geography not elsewhere classified
1496,Transport planning
1497,Community planning
1498,Anthropology not elsewhere classified
1499,Archaeology not elsewhere classified
1500,Ecosystem function
1501,Ecology not elsewhere classified
1502,Other environmental sciences not elsewhere classified
1503,Other earth sciences not elsewhere classified
1504,Natural resource management
1505,Photogrammetry and remote sensing
1506,Linguistics not elsewhere classified
1507,Volcanology
1508,Geology not elsewhere classified
1509,Planetary geology
1510,Photogrammetry and remote sensing
1511,Ecology not elsewhere classified
1512,Climate change processes
1513,Ecological impacts of climate change and ecological adaptation
1514,Landscape ecology
1515,Photogrammetry and remote sensing
1516,"Creative arts, media and communication curriculum and pedagogy"
1517,Linguistics not elsewhere classified
1518,Software engineering not elsewhere classified
1519,Mechanical engineering not elsewhere classified
1520,"Coding, information theory and compression"
1521,Computer graphics
1522,Computer vision
1523,Human-computer interaction
1524,"Information modelling, management and ontologies"
1525,"Data models, storage and indexing"
1526,Database systems
1527,Image processing
1528,Information systems development methodologies and practice
1529,Information systems organisation and management
1530,Other information and computing sciences not elsewhere classified
1531,Pattern recognition
1532,Data mining and knowledge discovery
1533,Modelling and simulation
1534,Educational psychology
1535,Sociology not elsewhere classified
1536,Glaciology
1537,Hydrology not elsewhere classified
1538,Oceanography not elsewhere classified
1539,Geomorphology and earth surface processes
1540,Sedimentology
1541,Genetics not elsewhere classified
1542,British history
1543,Historical studies not elsewhere classified
1544,Chemical engineering not elsewhere classified
1545,Chemical engineering not elsewhere classified
1546,Civil geotechnical engineering
1547,Biogeography and phylogeography
1548,Plant biology not elsewhere classified
1549,Freshwater ecology
1550,Terrestrial ecology
1551,Zoology not elsewhere classified
1552,Conservation and biodiversity
1553,Ecology not elsewhere classified
1554,Other environmental sciences not elsewhere classified
1555,Biosecurity science and invasive species ecology
1556,Chemical engineering not elsewhere classified
1557,Applications in physical sciences
1558,Computational chemistry
1559,Modelling and simulation
1560,Ecology not elsewhere classified
1561,Nutrition and dietetics not elsewhere classified
1562,Public health not elsewhere classified
1563,Public health nutrition
1564,Community child health
1565,Computational chemistry
1566,Organic chemistry not elsewhere classified
1567,Physical organic chemistry
1568,Theoretical quantum chemistry
1569,Atmospheric sciences not elsewhere classified
1570,Ecology not elsewhere classified
1571,Electrical engineering not elsewhere classified
1572,"Building science, technologies and systems"
1573,Mechanical engineering not elsewhere classified
1574,Other earth sciences not elsewhere classified
1575,Aerodynamics (excl. hypersonic aerodynamics)
1576,Inorganic chemistry not elsewhere classified
1577,Other health sciences not elsewhere classified
1578,Sociology not elsewhere classified
1579,Nuclear physics
1580,Medical physics
1581,Computational chemistry
1582,Computational chemistry
1583,Computational chemistry
1584,Computational chemistry
1585,Computational chemistry
1586,Building construction management and project planning
1587,Uncategorized
1588,Uncategorized
1589,Uncategorized
1590,Library and Information Studies
1591,Library and Information Studies
1592,Epidemiology
1593,Health Informatics
1594,Library and Information Studies
1595,Health Informatics
1596,Library and Information Studies
1597,Medical and Health Sciences not elsewhere classified
1598,Uncategorized
1599,Library and Information Studies
1600,Library and Information Studies
1601,"Medicine, Nursing and Health Curriculum and Pedagogy"
1602,Computational Biology
1603,Software Engineering
1604,Computer-Human Interaction
1605,"Input, Output and Data Devices"
1606,Computer Software
1607,Data Format
1608,Uncategorized
1609,Uncategorized
1610,Uncategorized
1611,Uncategorized
1612,Uncategorized
1613,Uncategorized
1614,Biological mathematics
1615,Biostatistics
1616,Applied statistics
1617,Biological mathematics
1618,Biostatistics
1619,Applied statistics
1620,Biological mathematics
1621,Biostatistics
1622,Applied statistics
1623,Biological mathematics
1624,Biostatistics
1625,Applied statistics
1626,Biological mathematics
1627,Applied statistics
1628,Biostatistics
1629,Biological mathematics
1630,Biostatistics
1631,Applied statistics
1632,Biological mathematics
1633,Biostatistics
1634,Applied statistics
1635,Biological mathematics
1636,Biostatistics
1637,Applied statistics
1638,Digital curation and preservation
1639,"Drama, theatre and performance studies"
1640,Latin and classical Greek literature
1641,Postcolonial studies
1642,Applied statistics
1643,Biological mathematics
1644,Biostatistics
1645,Biological mathematics
1646,Biostatistics
1647,Applied statistics
1648,Applied statistics
1649,Biological mathematics
1650,Biostatistics
1651,Applied statistics
1652,Biological mathematics
1653,Biostatistics
1654,"Drama, theatre and performance studies"
1655,Latin and classical Greek literature
1656,Postcolonial studies
1657,Applied statistics
1658,Biological mathematics
1659,Biostatistics
1660,Biostatistics
1661,Biological mathematics
1662,Applied statistics
1663,Applied statistics
1664,Biological mathematics
1665,Biostatistics
1666,Applied statistics
1667,Biological mathematics
1668,Biostatistics
1669,Applied statistics
1670,Biological mathematics
1671,Biostatistics
1672,Applied statistics
1673,Biological mathematics
1674,Biostatistics
1675,Applied statistics
1676,Biostatistics
1677,Biological mathematics
1678,Applied statistics
1679,Biological mathematics
1680,Biostatistics
1681,Applied statistics
1682,Biological mathematics
1683,Biostatistics
1684,Applied statistics
1685,Biostatistics
1686,Biological mathematics
1687,Applied statistics
1688,Biological mathematics
1689,Biostatistics
1690,Applied statistics
1691,Biological mathematics
1692,Biostatistics
1693,Applied statistics
1694,Biological mathematics
1695,Biostatistics
1696,Applied statistics
1697,Biological mathematics
1698,Biostatistics
1699,Applied statistics
1700,Biological mathematics
1701,Biostatistics
1702,Applied statistics
1703,Biological mathematics
1704,Biostatistics
1705,Applied statistics
1706,Biological mathematics
1707,Biostatistics
1708,Applied statistics
1709,Biological mathematics
1710,Biostatistics
1711,"Drama, theatre and performance studies"
1712,Postcolonial studies
1713,Latin and classical Greek literature
1714,Applied statistics
1715,Biostatistics
1716,Biological mathematics
1717,Applied statistics
1718,Biological mathematics
1719,Biostatistics
1720,Applied statistics
1721,Biological mathematics
1722,Biostatistics
1723,Applied statistics
1724,Biological mathematics
1725,Biostatistics
1726,Applied statistics
1727,Biological mathematics
1728,Biostatistics
1729,Applied statistics
1730,Biological mathematics
1731,Biostatistics
1732,Applied statistics
1733,Biological mathematics
1734,Biostatistics
1735,Applied statistics
1736,Biological mathematics
1737,Biostatistics
1738,Applied statistics
1739,Biological mathematics
1740,Biostatistics
1741,Applied statistics
1742,Biological mathematics
1743,Biostatistics
1744,Applied statistics
1745,Biological mathematics
1746,Biostatistics
1747,Applied statistics
1748,Biological mathematics
1749,Biostatistics
1750,Applied statistics
1751,Biostatistics
1752,Biological mathematics
1753,Applied statistics
1754,Biological mathematics
1755,Biostatistics
1756,Applied statistics
1757,Biological mathematics
1758,Biostatistics
1759,Applied statistics
1760,Biological mathematics
1761,Biostatistics
1762,Public health nutrition
1763,Nutritional epidemiology
1764,Cardiology (incl. cardiovascular diseases)
1765,Epidemiology not elsewhere classified
1766,Cultural studies not elsewhere classified
1767,Modelling and simulation
1768,"Software testing, verification and validation"
1769,Other psychology not elsewhere classified
1770,Other health sciences not elsewhere classified
1771,Public economics - taxation and revenue
1772,Taxation law
1773,Foetal development and medicine
1774,Reproduction
1775,Obstetrics and gynaecology
1776,Developmental genetics (incl. sex determination)
1777,Clinical pharmacy and pharmacy practice
1778,Media studies
1779,Journalism studies
1780,Communication studies
1781,Communication and media studies not elsewhere classified
1782,Musicology and ethnomusicology
1783,Terrestrial ecology
1784,Computational ecology and phylogenetics
1785,Life histories
1786,Biosecurity science and invasive species ecology
1787,Landscape ecology
1788,Population ecology
1789,Nutritional science
1790,Clinical nutrition
1791,Nutrition and dietetics not elsewhere classified
1792,Civil engineering not elsewhere classified
1793,Urban hydrology
1794,Acoustics and acoustical devices; waves
1795,Cognitive neuroscience
1796,Behavioural neuroscience
1797,Macromolecular materials
1798,Polymerisation mechanisms
1799,Nanochemistry
1800,Molecular medicine
1801,Characterisation of biological macromolecules
1802,Biomolecular modelling and design
1803,Biologically active molecules
1804,Mechanical engineering not elsewhere classified
1805,Health management
1806,Health services and systems not elsewhere classified
1807,Health surveillance
1808,Psycholinguistics (incl. speech production and comprehension)
1809,"Other language, communication and culture not elsewhere classified"
1810,Speech pathology
1811,Cancer therapy (excl. chemotherapy and radiation therapy)
1812,Chemotherapy
1813,Molecular targets
1814,Oncology and carcinogenesis not elsewhere classified
1815,Cancer cell biology
1816,Disaster and emergency management
1817,Sociolinguistics
1818,Higher education
1819,Other education not elsewhere classified
1820,Health care administration
1821,Higher education
1822,Discourse and pragmatics
1823,Applied linguistics and educational linguistics
1824,Sociolinguistics
1825,Linguistics not elsewhere classified
1826,Library and information studies not elsewhere classified
1827,Library studies
1828,Higher education
1829,Learning sciences
1830,Econometric and statistical methods
1831,Other education not elsewhere classified
1832,Econometric and statistical methods
1833,Other education not elsewhere classified
1834,Econometric and statistical methods
1835,Other education not elsewhere classified
1836,Archaeological science
1837,"Other history, heritage and archaeology not elsewhere classified"
1838,Archaeology not elsewhere classified
1839,Historical archaeology (incl. industrial archaeology)
1840,"Archaeology of Europe, the Mediterranean and the Levant"
1841,Digital heritage
1842,Econometric and statistical methods
1843,Other education not elsewhere classified
1844,Library and information studies not elsewhere classified
1845,Social policy
1846,Nutrition and dietetics not elsewhere classified
1847,Nutrition and dietetics not elsewhere classified
1848,Health and community services
1849,Other education not elsewhere classified
1850,Sociology of education
1851,Higher education
1852,Educational psychology
1853,Education policy
1854,Social policy
1855,Public health nutrition
1856,Nutrition and dietetics not elsewhere classified
1857,Library and information studies not elsewhere classified
1858,Library studies
1859,Communications engineering not elsewhere classified
1860,Networking and communications
1861,Musicology and ethnomusicology
1862,Digital heritage
1863,"Information modelling, management and ontologies"
1864,Other education not elsewhere classified
1865,Education policy
1866,Higher education
1867,"Technical, further and workplace education"
1868,Sociology not elsewhere classified
1869,Condensed matter imaging
1870,Condensed matter physics not elsewhere classified
1871,Electronic and magnetic properties of condensed matter; superconductivity
1872,Nonlinear optics and spectroscopy
1873,Foundations of quantum mechanics
1874,Chemical engineering not elsewhere classified
1875,Agricultural biotechnology not elsewhere classified
1876,Medical biotechnology not elsewhere classified
1877,Chemical and thermal processes in energy and combustion
1878,Immunology not elsewhere classified
1879,Biochemistry and cell biology not elsewhere classified
1880,Other education not elsewhere classified
1881,Higher education
1882,Sociology not elsewhere classified
1883,Education policy
1884,Social change
1885,Sociological methodology and research methods
1886,Sociology of education
1887,Microbiology not elsewhere classified
1888,Environmental assessment and monitoring
1889,Food sciences not elsewhere classified
1890,"Food packaging, preservation and processing"
1891,Medical biochemistry and metabolomics not elsewhere classified
1892,Cardiology (incl. cardiovascular diseases)
1893,Endocrinology
1894,Cell physiology
1895,Biochemistry and cell biology not elsewhere classified
1896,Gene expression (incl. microarray and other genome-wide approaches)
1897,Other biomedical and clinical sciences not elsewhere classified
1898,Animal physiology - biophysics
1899,Animal physiology - cell
1900,Animal physiology - systems
1901,Receptors and membrane biology
1902,Data visualisation and computational (incl. parametric and generative) design
1903,Modelling and simulation
1904,"Cultural studies of agriculture, food and wine"
1905,"Food packaging, preservation and processing"
1906,Environmental geography
1907,Cultural geography
1908,Control engineering
1909,"Control engineering, mechatronics and robotics not elsewhere classified"
1910,"Simulation, modelling, and programming of mechatronics systems"
1911,Control engineering
1912,"Control engineering, mechatronics and robotics not elsewhere classified"
1913,"Simulation, modelling, and programming of mechatronics systems"
1914,Control engineering
1915,"Control engineering, mechatronics and robotics not elsewhere classified"
1916,"Simulation, modelling, and programming of mechatronics systems"
1917,Data management and data science not elsewhere classified
1918,Data management and data science not elsewhere classified
1919,Data management and data science not elsewhere classified
1920,Data management and data science not elsewhere classified
1921,Data management and data science not elsewhere classified
1922,Data management and data science not elsewhere classified
1923,Data management and data science not elsewhere classified
1924,Data management and data science not elsewhere classified
1925,Data management and data science not elsewhere classified
1926,Data management and data science not elsewhere classified
1927,"Research, science and technology policy"
1928,Software engineering not elsewhere classified
1929,Sociological methodology and research methods
1930,"Research, science and technology policy"
1931,Sociological methodology and research methods
1932,Sociological methodology and research methods
1933,Sociological methodology and research methods
1934,Sociological methodology and research methods
1935,Sociological methodology and research methods
1936,Sociological methodology and research methods
1937,"Science, technology and engineering curriculum and pedagogy"
1938,Sociological methodology and research methods
1939,Management accounting
1940,Logistics
1941,Supply chains
1942,Logistics
1943,Supply chains
1944,Logistics
1945,Supply chains
1946,Logistics
1947,Supply chains
1948,Logistics
1949,Supply chains
1950,Logistics
1951,Supply chains
1952,Logistics
1953,Supply chains
1954,Behavioural ecology
1955,Organisational behaviour
1956,Environment policy
1957,Public policy
1958,"Research, science and technology policy"
1959,Economic development policy
1960,Behavioural ecology
1961,Other economics not elsewhere classified
1962,Ecological economics
1963,Environment and resource economics
1964,Urban and regional economics
1965,Ecological economics
1966,Environment and resource economics
1967,Urban and regional economics
1968,Ecological economics
1969,Environment and resource economics
1970,Urban and regional economics
1971,Ecological economics
1972,Urban and regional economics
1973,Environment and resource economics
1974,Software engineering not elsewhere classified
1975,Sociological methodology and research methods
1976,"Research, science and technology policy"
1977,Organisation of information and knowledge resources
1978,Human information behaviour
1979,Library and information studies not elsewhere classified
1980,Health policy
1981,Urban policy
1982,Public policy
1983,Community planning
1984,Health and community services
1985,Organisation of information and knowledge resources
1986,Human information behaviour
1987,Library and information studies not elsewhere classified
1988,Epidemiology not elsewhere classified
1989,Cyberphysical systems and internet of things
1990,"Information modelling, management and ontologies"
1991,Mobile computing
1992,"Archival, repository and related studies"
1993,Public health not elsewhere classified
1994,Biomechanical engineering
1995,Clinical microbiology
1996,Biomedical instrumentation
1997,Human information behaviour
1998,Conservation and biodiversity
1999,Linguistics not elsewhere classified
2000,Linguistics not elsewhere classified
2001,Linguistics not elsewhere classified
2002,Linguistics not elsewhere classified
2003,Linguistics not elsewhere classified
2004,Linguistics not elsewhere classified
2005,Linguistics not elsewhere classified
2006,Linguistics not elsewhere classified
2007,Planetary science (excl. solar system and planetary geology)
2008,Aircraft performance and flight control systems
2009,Autonomous vehicle systems
2010,Linguistics not elsewhere classified
2011,Planetary science (excl. solar system and planetary geology)
2012,Image processing
2013,Linguistics not elsewhere classified
2014,Linguistics not elsewhere classified
2015,Linguistics not elsewhere classified
2016,Linguistics not elsewhere classified
2017,Linguistics not elsewhere classified
2018,Linguistics not elsewhere classified
2019,Linguistics not elsewhere classified
2020,Linguistics not elsewhere classified
2021,Astronomical instrumentation
2022,Space instrumentation
2023,Space sciences not elsewhere classified
2024,Planetary geology
2025,Planetary science (excl. solar system and planetary geology)
2026,Aerospace engineering not elsewhere classified
2027,Astronomical instrumentation
2028,Space instrumentation
2029,Solar physics
2030,Planetary geology
2031,Planetary science (excl. solar system and planetary geology)
2032,Cosmology and extragalactic astronomy
2033,Galactic astronomy
2034,Astronomical instrumentation
2035,Climate change processes
2036,Climatology
2037,Environmental assessment and monitoring
2038,Other environmental sciences not elsewhere classified
2039,Glaciology
2040,Astronomical sciences not elsewhere classified
2041,High energy astrophysics and galactic cosmic rays
2042,Astroparticle physics and particle cosmology
2043,Cosmology and extragalactic astronomy
2044,High energy astrophysics and galactic cosmic rays
2045,Astroparticle physics and particle cosmology
2046,Cosmology and extragalactic astronomy
2047,Astronomical sciences not elsewhere classified
2048,Computational chemistry
2049,Aerodynamics (excl. hypersonic aerodynamics)
2050,Automotive engineering not elsewhere classified
