,title
218,Cardiovascular medicine and haematology not elsewhere classified
219,Cardiovascular medicine and haematology not elsewhere classified
220,Cardiovascular medicine and haematology not elsewhere classified
221,Cardiovascular medicine and haematology not elsewhere classified
222,Cardiovascular medicine and haematology not elsewhere classified
223,Cardiovascular medicine and haematology not elsewhere classified
224,Cardiovascular medicine and haematology not elsewhere classified
225,"Photonic and electro-optical devices, sensors and systems (excl. communications)"
226,Compound semiconductors
227,Electrical engineering not elsewhere classified
228,Sociology not elsewhere classified
229,Public policy
230,Public health not elsewhere classified
231,Digital processor architectures
232,Other information and computing sciences not elsewhere classified
233,Materials engineering not elsewhere classified
234,Other physical sciences not elsewhere classified
235,Condensed matter physics not elsewhere classified
236,Agricultural biotechnology not elsewhere classified
237,Clinical microbiology
238,Other education not elsewhere classified
239,Secondary education
240,Early childhood education
241,Primary education
242,Communication technology and digital media studies
243,Screen and media culture
244,Public health not elsewhere classified
245,Community planning
246,Urban sociology and community studies
247,Health and community services
248,Community planning
249,Urban sociology and community studies
250,Public health not elsewhere classified
251,Biochemistry and cell biology not elsewhere classified
252,"Cellular interactions (incl. adhesion, matrix, cell wall)"
253,Agricultural biotechnology not elsewhere classified
254,Plant cell and molecular biology
255,Animal cell and molecular biology
256,Systems biology
257,Bioinformatics and computational biology not elsewhere classified
258,Biochemistry and cell biology not elsewhere classified
259,Systems biology
260,Bioinformatics and computational biology not elsewhere classified
261,"Cellular interactions (incl. adhesion, matrix, cell wall)"
262,Biomechanical engineering
263,Plant cell and molecular biology
264,Animal cell and molecular biology
265,Modelling and simulation
266,Solar physics
267,Ecology not elsewhere classified
268,Library and information studies not elsewhere classified
269,Astronomical instrumentation
270,Space instrumentation
271,Cognitive and computational psychology not elsewhere classified
272,Biomedical engineering not elsewhere classified
273,Biomechanical engineering
274,Modelling and simulation
275,Numerical modelling and mechanical characterisation
276,Biomolecular modelling and design
277,Biochemistry and cell biology not elsewhere classified
278,Bioinformatics and computational biology not elsewhere classified
279,Cancer cell biology
280,Biological mathematics
281,Population geography
282,Transport planning
283,Public transport
284,Public administration
285,Music technology and recording
286,Data engineering and data science
287,Meteorology
288,"Creative arts, media and communication curriculum and pedagogy"
289,Higher education
290,Education policy
291,Retail
292,Microbial ecology
293,Surgery
294,Pathology (excl. oral pathology)
295,Gastroenterology and hepatology
296,Cell physiology
297,Environmental politics
298,Other environmental sciences not elsewhere classified
299,Environmental politics
300,Statistics not elsewhere classified
301,Sports science and exercise not elsewhere classified
302,Literary studies not elsewhere classified
303,Behavioural ecology
304,Sports science and exercise not elsewhere classified
305,Statistics not elsewhere classified
306,Migration
307,Political science not elsewhere classified
308,Sociology not elsewhere classified
309,Financial economics
310,Other economics not elsewhere classified
311,Health policy
312,Sociology not elsewhere classified
313,Human geography not elsewhere classified
314,Immunology not elsewhere classified
315,Conservation and biodiversity
316,Library and information studies not elsewhere classified
317,"Architectural history, theory and criticism"
318,Architectural heritage and conservation
319,Other built environment and design not elsewhere classified
320,"Design history, theory and criticism"
321,Design management
322,Design practice and methods
323,History and theory of the built environment (excl. architecture)
324,Urban analysis and development
325,Urban design
326,Visual communication design (incl. graphic design)
327,Engineering practice
328,Software engineering not elsewhere classified
329,Other engineering not elsewhere classified
330,Engineering practice
331,Engineering design
332,Other engineering not elsewhere classified
333,Design not elsewhere classified
334,Textile and fashion design
335,Marketing communications
336,Marketing research methodology
337,Mobile computing
338,Other chemical sciences not elsewhere classified
339,International and development communication
340,International and development communication
341,International and development communication
342,International and development communication
343,International and development communication
344,International and development communication
345,International and development communication
346,International and development communication
347,International and development communication
348,International and development communication
349,International and development communication
350,International and development communication
351,International and development communication
352,International and development communication
353,International and development communication
354,International and development communication
355,International and development communication
356,International and development communication
357,International and development communication
358,International and development communication
359,International and development communication
360,International and development communication
361,International and development communication
362,International and development communication
363,International and development communication
364,International and development communication
365,International and development communication
366,International and development communication
367,International and development communication
368,International and development communication
369,International and development communication
370,International and development communication
371,International and development communication
372,International and development communication
373,International and development communication
374,International and development communication
375,International and development communication
376,International and development communication
377,International and development communication
378,International and development communication
379,International and development communication
380,International and development communication
381,International and development communication
382,Biochemistry
383,Mechanical Engineering
384,Biological Sciences not elsewhere classified
385,Industrial Design
386,Uncategorized
387,Uncategorized
388,Chemical Engineering not elsewhere classified
389,Biological Sciences not elsewhere classified
390,Mechanical Engineering
391,Architecture not elsewhere classified
392,Anthropology
393,Industrial Design
394,Art History
395,History
396,Mechanical Engineering
397,Anthropology
398,Public Health and Health Services not elsewhere classified
399,Uncategorized
400,Uncategorized
401,Uncategorized
402,Uncategorized
403,Uncategorized
404,Uncategorized
405,Uncategorized
406,Uncategorized
407,Uncategorized
408,Uncategorized
409,Uncategorized
410,Uncategorized
411,Uncategorized
412,Uncategorized
413,Uncategorized
414,Uncategorized
415,Uncategorized
416,Uncategorized
417,Uncategorized
418,Uncategorized
419,Uncategorized
420,Uncategorized
421,Uncategorized
422,Uncategorized
423,Uncategorized
424,Uncategorized
425,Uncategorized
426,Uncategorized
427,Uncategorized
428,Uncategorized
429,Uncategorized
430,Uncategorized
431,Uncategorized
432,"Drama, theatre and performance studies"
433,"Archival, repository and related studies"
434,Musicology and ethnomusicology
435,"Drama, theatre and performance studies"
436,Music education
437,Musicology and ethnomusicology
438,Music education
439,"Drama, theatre and performance studies"
440,Musicology and ethnomusicology
441,"Drama, theatre and performance studies"
442,Music education
443,Musicology and ethnomusicology
444,Music education
445,"Drama, theatre and performance studies"
446,Musicology and ethnomusicology
447,Music education
448,"Drama, theatre and performance studies"
449,Musicology and ethnomusicology
450,Music education
451,"Drama, theatre and performance studies"
452,Musicology and ethnomusicology
453,Music education
454,"Drama, theatre and performance studies"
455,Music education
456,"Drama, theatre and performance studies"
457,Musicology and ethnomusicology
458,Musicology and ethnomusicology
459,Music education
460,"Drama, theatre and performance studies"
461,"Drama, theatre and performance studies"
462,Social change
463,Social and cultural anthropology
464,"Drama, theatre and performance studies"
465,Social change
466,Social and cultural anthropology
467,"Drama, theatre and performance studies"
468,Social change
469,Social and cultural anthropology
470,"Drama, theatre and performance studies"
471,Social and cultural anthropology
472,Social change
473,"Drama, theatre and performance studies"
474,Social change
475,Social and cultural anthropology
476,"Drama, theatre and performance studies"
477,Social change
478,Social and cultural anthropology
479,Other biological sciences not elsewhere classified
480,"Drama, theatre and performance studies"
481,Social change
482,Social and cultural anthropology
483,"Drama, theatre and performance studies"
484,"Drama, theatre and performance studies"
485,Social change
486,Social and cultural anthropology
487,"Drama, theatre and performance studies"
488,Social change
489,Social and cultural anthropology
490,Arts and cultural policy
491,Animal behaviour
492,Behavioural ecology
493,"Drama, theatre and performance studies"
494,Postcolonial studies
495,Latin and classical Greek literature
496,Sociolinguistics
497,"Historical, comparative and typological linguistics"
498,Geospatial information systems and geospatial data modelling
499,Heritage and cultural conservation
500,Geospatial information systems and geospatial data modelling
501,Architectural heritage and conservation
502,Library and information studies not elsewhere classified
503,Fine arts
504,Performance art
505,"Art history, theory and criticism not elsewhere classified"
506,Musicology and ethnomusicology
507,Music performance
508,Musicology and ethnomusicology
509,Music performance
510,Musicology and ethnomusicology
511,Music performance
512,Musicology and ethnomusicology
513,Music performance
514,Musicology and ethnomusicology
515,Music performance
