item_id,author_id,full_name,orcid_id
17080664,11582035,Andre Nogueira Alves,
17080664,11952601,Greg Walter,
21023854,13745857,Jules Farquhar,0000-0002-1894-7580
21023854,13578157,Arman Pili,
21023854,13746361,Wyn Russell,
20174165,12965786,Lachlan Chumbley,
20785396,8936912,Miranda Cumpston,
20785396,4622977,Sue Brennan,0000-0003-1789-8809
20785396,6203459,Joanne McKenzie,
20785396,5791484,Rebecca Ryan,0000-0002-9097-2078
20785948,8936912,Miranda Cumpston,
20785948,4622977,Sue Brennan,0000-0003-1789-8809
20785948,6203459,Joanne McKenzie,
20785948,5791484,Rebecca Ryan,0000-0002-9097-2078
20786251,8936912,Miranda Cumpston,
20786251,4622977,Sue Brennan,0000-0003-1789-8809
20786251,5791484,Rebecca Ryan,0000-0002-9097-2078
20786251,6203459,Joanne McKenzie,
20523300,9988466,Aldrich Clarence,
20523300,8241540,Jarrod Knibbe,
20523300,13277905,Maxime Cordeil,0000-0002-9732-4874
20523300,2912201,Michael Wybrow,
19896718,12626572,David Adams,
19896718,7420796,Sean Williamson,
19896718,3089907,Roger Evans,
19896718,7054937,Richard Reina,
18851036,8862611,David Chapple,
18851036,4108810,Annalise C. Naimo,
18851036,10682499,Jack Brand,
18851036,3724453,Marcus Michelangeli,
18851036,10683421,Jake Martin,
18851036,3631087,Celine Goulet,
18851036,371606,Dianne H. Brunton,
