item_id,author_id,full_name,orcid_id
21286539,7051799,Rosie Higman,0000-0001-5329-7168
21276765,6521789,Emily Nunn,
21276765,2893811,Jamie McLaughlin,
21276666,11829857,Jacob Macdonald,
21276666,10154603,Matthew Hanchard,0000-0003-2460-8638
21276420,13909735,Jessica Butler,
20631255,13400989,Sort Of... Films,
20631255,3382073,Haiping Lu,
20631255,2799328,Jenni Adams,
20630865,13400989,Sort Of... Films,
20630865,2762389,Ian Sudbery,
20630865,2799328,Jenni Adams,
20631303,13400989,Sort Of... Films,
20631303,13403204,Jim Uttley,
20631303,2799328,Jenni Adams,
20631033,13400989,Sort Of... Films,
20631033,2757583,Stephen Livingstone,
20631033,7447850,Peter Tuckett,
20631033,2799328,Jenni Adams,
20630577,13400989,Sort Of... Films,
20630577,4485136,Claudia von Bastian,
20630577,2799328,Jenni Adams,
20630121,13400989,Sort Of... Films,
20630121,7132778,Alice Pyne,
20630121,2799328,Jenni Adams,
19704538,2765959,Michael Smith,
19251854,10324901,Nicholas Farr,0000-0001-6761-3600
19251854,1230402,Chris Holland,
19251854,2761063,Cornelia Rodenburg,
16589621,4457122,Elias Lattash,
16589621,2756041,Charith Abhayaratne,0000-0002-2799-7395
16589621,5056973,Michael Mangan,
15082653,7447805,Thomas Green,
15082653,11210064,Kevin Kamel,
15082653,11210067,Siyuan Li,
15082653,11210069,Christopher Shinn,
15082653,11210071,Paolo Toscano,
15082653,11210074,Xintong Wang,
15082653,11210077,Yuchen Ye,
15082653,1230165,Roderich Gross,
12739169,2757550,Felix Ng,
13139276,5805332,Lee Pretlove,0000-0002-6165-1128
13139276,2759458,Andrew Cox,
13139276,4727970,Frank Hopfgartner,
13139276,2858195,Laura Sbaffi,
12311684,2747896,John Moreland,
12361838,2747896,John Moreland,
12302429,2747896,John Moreland,
12341186,2747896,John Moreland,
12420326,4469536,Matthew Hall,
12420326,7835897,Anil Ozdemir,
12420326,1230165,Roderich Gross,
11925552,2765551,Nicola Dibben,
11925552,8523255,Julian Cespedes,
11728722,2752381,Vanessa Speight,
11728722,2752294,Paul Husband,
11728722,3457844,Peter Schaap,
9896669,2748613,Anil Ozdemir,
9896816,2748613,Anil Ozdemir,
9896843,2748613,Anil Ozdemir,
9896636,2748613,Anil Ozdemir,
7937633,2750191,Kathryn Ayscough,
7937633,2750200,Iwona Smaczynska-de Rooij,
5297509,1230102,Elizabeth Hathway,
5297509,4372624,Ilias Papakonstantis,
5297509,4372747,Adorkor Bruce-Konuah,
5297509,1230132,Wernher Brevis,
5357503,1230228,Annette Taylor,
5357503,2753437,Tamas Bansagi,
4818490,2893856,Michael Griffiths,
4818490,2760589,Robert von Fay-Siebenburgen,
4818490,2748169,Viktor Fedun,
3472181,2867561,Emma Hoffman,
3472181,2867558,Steve J Winder,
3363466,1376514,Oscar Saz Torralba,
3363466,1263813,Thomas Hain,
19555210,9444056,Sarah S Sutton,0000-0003-4558-9712
19555210,9869241,Matthew Chojnacki,0000-0001-8497-8994
19555210,9869069,Alfred McEwen,0000-0001-8638-2553
19555210,12379435,Randolph L. Kirk,0000-0003-0842-9226
19555210,12379438,Colin Dundas,0000-0003-2343-7224
19555210,9869237,Ethan Schaefer,0000-0002-7157-9764
19555210,9464172,Susan J. Conway,0000-0002-0577-2312
19555210,12379439,Serina Diniega,0000-0003-3766-2190
19555210,12379440,Ganna Portyankina,0000-0002-1323-8195
19555210,12379443,Margaret Landis,0000-0001-7321-2272
19555210,12379444,Nicole Baugh,0000-0003-2170-8940
19555210,12379446,Rodney Heyd,0000-0003-4785-2684
19555210,12379448,Shane Byrne,0000-0002-6735-4685
19555210,12342158,Livio Tornabene,0000-0002-1479-6711
19555210,12379451,Lujendra Ojha,0000-0003-2086-4546
19555210,9362888,Christopher W. Hamilton,
14515257,10744971,Bao Nguyen,
14224247,10312463,Jokubas Ausra,
14224247,10312466,Stephanie Munger,
14224247,10312467,Amirhossein Azami,
14224247,10312469,Alex Burton,
14224247,10312472,Roberto Peralta,
14224247,8578182,Julie Elizabeth Miller,
14224247,10312480,Philipp Gutruf,0000-0002-7183-7268
12354578,8878826,Miranda Rintoul,
12360626,8662494,Reagen Leimbach,
12020763,8578182,Julie Elizabeth Miller,
12020763,5129345,Robin A. Samlan,
12020763,8605533,Mark C Borgstrom,
12020763,8605531,Areen Badwal,
16438356,1256451,Camilla Gilmore,
16438356,11330256,Joanne Eaves,0000-0001-6901-509X
16438356,10085768,Nina Attridge,
16438347,1256451,Camilla Gilmore,
16438347,11330256,Joanne Eaves,0000-0001-6901-509X
16438347,10085768,Nina Attridge,
16438329,1256451,Camilla Gilmore,
16438329,11330256,Joanne Eaves,0000-0001-6901-509X
16438329,10085768,Nina Attridge,
21065935,5363645,Britta Boyer,
21065992,5363645,Britta Boyer,
20768749,12358006,Lara Skelly,0000-0002-2301-1242
8159597,1254492,Caroline Astell-Burt,
8159606,1254492,Caroline Astell-Burt,
8159594,1254492,Caroline Astell-Burt,
8159600,1254492,Caroline Astell-Burt,
8159585,1254492,Caroline Astell-Burt,
8159603,1254492,Caroline Astell-Burt,
8159591,1254492,Caroline Astell-Burt,
8159588,1254492,Caroline Astell-Burt,
8159582,1254492,Caroline Astell-Burt,
20048570,1258203,George Torrens,0000-0001-5097-0484
20048570,12681842,Keith Allot,
16586099,7442552,Ana Suzina,0000-0003-3559-6513
16685275,7622876,Cecilia Landa-Avila,0000-0001-6107-6736
16685275,9141119,Jiyun Sung,
16685275,11098845,Corina Niculaescu,0000-0002-8971-0812
16685275,5005658,Ozlem Colak,
16685275,4820307,Tina Harvey,
16685275,1251018,Gyuchan Thomas Jun,
16685275,8558670,Isabel Sassoon,0000-0002-8685-1054
16685275,7132646,Panagiotis Balatsoukas,
16685233,7622876,Cecilia Landa-Avila,0000-0001-6107-6736
16685233,9141119,Jiyun Sung,
16685233,11098845,Corina Niculaescu,0000-0002-8971-0812
16685233,5005658,Ozlem Colak,
16685233,4820307,Tina Harvey,
16685233,1251018,Gyuchan Thomas Jun,
16685233,8558670,Isabel Sassoon,0000-0002-8685-1054
16685233,7132646,Panagiotis Balatsoukas,
16670638,7622876,Cecilia Landa-Avila,0000-0001-6107-6736
16670638,8558670,Isabel Sassoon,0000-0002-8685-1054
16670638,1251018,Gyuchan Thomas Jun,
16670638,11098845,Corina Niculaescu,0000-0002-8971-0812
16670638,5005658,Ozlem Colak,
16670638,4820307,Tina Harvey,
16670638,7132646,Panagiotis Balatsoukas,
16670833,7622876,Cecilia Landa-Avila,0000-0001-6107-6736
16670833,8558670,Isabel Sassoon,0000-0002-8685-1054
