item_id,file_name,file_size_bytes,link_only
21293190,SAWL_Tactic 32_Remember a Cyberfest Manifesto for the 21st Century.pdf,3920914,FALSE
21293178,SAWL_Tactic 28_Don't Subsidise Yourself or Others.pdf,394083,FALSE
21293169,SAWL_Tactic 25_Flex Story Muscle.pdf,890820,FALSE
21293166,SAWL_Tactic 24_Act Collectively.pdf,498407,FALSE
21293163,SAWL_Tactic 23_Go Feral.pdf,282144,FALSE
21293160,SAWL_Tactic 22_Flip the Question.pdf,1773183,FALSE
21293157,SAWL_Tactic 21_Think Big.pdf,2120216,FALSE
21293154,SAWL_Tactic 20_Give an Hour.pdf,1489558,FALSE
21293151,SAWL_Tactic 19_Be Bloody Funny.pdf,661887,FALSE
21293145,SAWL_Tactic 17_Make a Show Your Family Would be Proud of.pdf,2102368,FALSE
21293142,SAWL_Tactic 16_Subvert from Within.pdf,798941,FALSE
21293127,SAWL_Tactic 11_Write the Minority as Majority.pdf,820303,FALSE
21293112,SAWL_Tactic 7_Be Useful.pdf,2468096,FALSE
21293109,SAWL_Tactic 6_Practice Universal Access.pdf,573371,FALSE
21293106,SAWL_Tactic 5_Invert to Subvert.pdf,554626,FALSE
21293103,SAWL_Tactic 4_Call Out Bad Behaviour.pdf,1318021,FALSE
21293100,SAWL_Tactic 3_Get in Early.pdf,1003714,FALSE
21293097,SAWL_Tactic 2_Image to Die For.pdf,392824,FALSE
21293094,SAWL_Tactic 1_Take up space.pdf,1524906,FALSE
21293199,Tactic 35_It's not About the Ruling Class.pdf,444119,FALSE
21293187,Tactic 31_Don't Be Polite.pdf,573517,FALSE
21293184,Tactic 30_Put First Nations First.pdf,882966,FALSE
21293181,Tactic 29_Remember that an Intersectional Movement Listens.pdf,369132,FALSE
21293175,Tactic 27_Add an Avatar Influencer.pdf,794203,FALSE
21293172,Tactic 26_Use Flashmob Theatre.pdf,958120,FALSE
21293148,Tactic 18_Queer the Canon.pdf,1503401,FALSE
21293139,Tactic 15_Partner Outside the Patriarchy.pdf,18870391,FALSE
21293136,Tactic 14_Kick Down the Door.pdf,1495253,FALSE
21293133,Tactic 13_Work the Hierarchy Horizontally.pdf,649845,FALSE
21293118,Tactic 9_Bury the Issue.pdf,1510621,FALSE
21293115,Tactic 8_Remember Class.pdf,1252427,FALSE
20508993,SEM_flyash_cement_mortar.rar,615015447,FALSE
19407212,Funnel plots for MA in hPL paper.docx,22799,FALSE
21088627,supplementary.pdf,559716,FALSE
16608421,SCT-Model-Extensions.pdf,147252,FALSE
20402094,FINAL DJ BBC Box 3-01.png,270118,FALSE
20402094,FINAL DJ BBC Own It 3-01.png,247133,FALSE
20402094,FINAL DJ DWP 9 DTH-01.png,227249,FALSE
20402094,FINAL DJ DWP CYI 6-01.png,293122,FALSE
20402094,FINAL DJ NHS antibiotic 5-01.png,299791,FALSE
20402094,FINAL DJ NHS cv19 7-01.png,540875,FALSE
20402094,THEME algo processing.png,290785,FALSE
20402094,THEME data matching DWP CYI.png,309100,FALSE
20402094,THEME data matching NHS antibiotic.png,366186,FALSE
20402094,THEME ownership and control.png,506740,FALSE
