,id,name,size,is_link_only,download_url,supplied_md5,computed_md5,item_id
0,830385934,State of Open Data 2020.pdf,2621716,False,https://ndownloader.figsh.com/files/830385934,9cf3151bab912f8d0d8e51025f85dd2c,9cf3151bab912f8d0d8e51025f85dd2c,8377090
1,830385936,code.ipynb,6608,False,https://ndownloader.figsh.com/files/830385936,a88f94f271e28d8a3fd6113865225fb8,a88f94f271e28d8a3fd6113865225fb8,8377090
2,830360618,Data_for_Visual_Classical_Conditioning_in_Wood_Ants.xlsx,23273,False,https://ndownloader.figsh.com/files/830360618,cb9eaf3ea28b614939a153d2e50c83e4,cb9eaf3ea28b614939a153d2e50c83e4,8332638
3,830360616,readme.rtf,395,False,https://ndownloader.figsh.com/files/830360616,fd845587e98b6575205166a7d8e26db3,fd845587e98b6575205166a7d8e26db3,8332638
4,830355166,Data_for_Visual_Classical_Conditioning_in_Wood_Ants.xlsx,23273,False,https://ndownloader.figsh.com/files/830355166,cb9eaf3ea28b614939a153d2e50c83e4,cb9eaf3ea28b614939a153d2e50c83e4,8327074
5,830355168,readme.rtf,395,False,https://ndownloader.figsh.com/files/830355168,fd845587e98b6575205166a7d8e26db3,fd845587e98b6575205166a7d8e26db3,8327074
6,830354076,Data_for_Visual_Classical_Conditioning_in_Wood_Ants.xlsx,23273,False,https://ndownloader.figsh.com/files/830354076,cb9eaf3ea28b614939a153d2e50c83e4,cb9eaf3ea28b614939a153d2e50c83e4,8324958
7,830347428,ICCAIRO.2018.00017,0,True,https://doi.org/10.1109/ICCAIRO.2018.00017,,,8313960
8,830347426,Von Fange.pdf,7305071,False,https://ndownloader.figsh.com/files/830347426,6105ee9a9eec05b33714be8d9b6dace2,6105ee9a9eec05b33714be8d9b6dace2,8313958
9,830331248,Example Journal Article.pdf,140537,False,https://ndownloader.figsh.com/files/830331248,362b5c48b420abe46b0d2c6e1e185a84,362b5c48b420abe46b0d2c6e1e185a84,8283932
10,830323572,exhibtionimageA.jpg,1245770,False,https://ndownloader.figsh.com/files/830323572,621bf846e8ef603283af1aada844c825,621bf846e8ef603283af1aada844c825,8271566
11,830311406,chopper.png,1014415,False,https://ndownloader.figsh.com/files/830311406,1f075d895c34cf4e5d23e74a58ffe632,1f075d895c34cf4e5d23e74a58ffe632,8250362
12,830311402,USGS-Landsat-9-Infographic-final-01.png,1088773,False,https://ndownloader.figsh.com/files/830311402,8ffc9daf4f297649fc7fe6e91394c683,8ffc9daf4f297649fc7fe6e91394c683,8250358
13,830311404,geologists-deploy-buckets_1.png,901651,False,https://ndownloader.figsh.com/files/830311404,1d089c2a10142438553ce22e4604d256,1d089c2a10142438553ce22e4604d256,8250358
14,830311400,ML%20F3%20Nov%2030_1.png,918741,False,https://ndownloader.figsh.com/files/830311400,70bb7e1a698795c3903e38084a78e442,70bb7e1a698795c3903e38084a78e442,8250356
15,830308403,readme.rtf,395,False,https://ndownloader.figsh.com/files/830308403,fd845587e98b6575205166a7d8e26db3,fd845587e98b6575205166a7d8e26db3,8245261
16,830307011,Library presentation 10.pptx,5869257,False,https://ndownloader.figsh.com/files/830307011,f6c7def9910e1ae56cf1ec67911834ae,f6c7def9910e1ae56cf1ec67911834ae,8242835
17,830285739,Logic Value .xlsx,5781,False,https://ndownloader.figsh.com/files/830285739,5ed080014fa5c431c16580959f6e59f4,5ed080014fa5c431c16580959f6e59f4,8205535
18,830285661,datafile.txt,413,False,https://ndownloader.figsh.com/files/830285661,803da0ab147fe5e442d05ee41e783f24,803da0ab147fe5e442d05ee41e783f24,8205483
19,830224896,AttenboroughData.xlsx,84687,False,https://ndownloader.figsh.com/files/830224896,06cdf277af219119614106b036de96fb,06cdf277af219119614106b036de96fb,8112610
20,830224834,AttenboroughData.xlsx,84687,False,https://ndownloader.figsh.com/files/830224834,06cdf277af219119614106b036de96fb,06cdf277af219119614106b036de96fb,8112570
21,830223334,Biodiversity in Sherwood Forest.pdf,290480,False,https://ndownloader.figsh.com/files/830223334,475ffe813a5e161e2c0a8a6d8164d841,475ffe813a5e161e2c0a8a6d8164d841,8109078
22,830223332,sample1.txt,29,False,https://ndownloader.figsh.com/files/830223332,4e2ee56b0e43c197910d5f4c52998bc3,4e2ee56b0e43c197910d5f4c52998bc3,8109076
23,830204109,data.csv,83,False,https://ndownloader.figsh.com/files/830204109,e9920d0f8dec339dece883cfb2c60d89,e9920d0f8dec339dece883cfb2c60d89,8075655
24,830240444,boxplot.JPG,55296,False,https://ndownloader.figsh.com/files/830240444,995916a27bfa7727f7bb1c213b8fd6d6,995916a27bfa7727f7bb1c213b8fd6d6,8064389
25,830195835,internetusers2020.xlsx,324181,False,https://ndownloader.figsh.com/files/830195835,e6add9dd48d33776db347da304e776b1,e6add9dd48d33776db347da304e776b1,8060569
26,830195837,"Sustainable Development Goals data update, UK December 2021.pdf",130011,False,https://ndownloader.figsh.com/files/830195837,9fd37b52485d6d37ca248b7d97be89fa,9fd37b52485d6d37ca248b7d97be89fa,8060569
27,830195839,"Sustainable Development Goals data update, UK December 2021.pdf",130011,False,https://ndownloader.figsh.com/files/830195839,9fd37b52485d6d37ca248b7d97be89fa,9fd37b52485d6d37ca248b7d97be89fa,8060569
28,830192534,lorem-ipsum-3.pdf,45592,False,https://ndownloader.figsh.com/files/830192534,a43d497d05561cff2e969b3c2633abb5,a43d497d05561cff2e969b3c2633abb5,8053828
29,830310746,Effort_Summary_of_2018.pdf,274046,False,https://ndownloader.figsh.com/files/830310746,9b13d0b1b51fad7a4b54cb0c1d70b68e,9b13d0b1b51fad7a4b54cb0c1d70b68e,8053828
30,830311408,Effort_Summary_of_2018.pdf,274046,False,https://ndownloader.figsh.com/files/830311408,9b13d0b1b51fad7a4b54cb0c1d70b68e,9b13d0b1b51fad7a4b54cb0c1d70b68e,8053828
31,830169076,State of Open Data 2020.pdf,2621716,False,https://ndownloader.figsh.com/files/830169076,9cf3151bab912f8d0d8e51025f85dd2c,9cf3151bab912f8d0d8e51025f85dd2c,8010920
32,830166606,03102022.csv,16785819,False,https://ndownloader.figsh.com/files/830166606,4ee2c88fda7f7ca11cfcc89a1fd11313,4ee2c88fda7f7ca11cfcc89a1fd11313,8004762
33,830133735,13573337?file=26061488,0,True,https://zivahub.uct.ac.za/articles/dataset/RISK11_signature_scores_for_the_biomarker-guided_tuberculosis_preventive_therapy_CORTIS_randomised_controlled_trial/13573337?file=26061488,,,7938277
34,830037370,aes.JPG,172621,False,https://ndownloader.figsh.com/files/830037370,9a5d445f37c8c174007cd431f376101a,9a5d445f37c8c174007cd431f376101a,7847550
35,829940406,boxplot.JPG,55296,False,https://ndownloader.figsh.com/files/829940406,995916a27bfa7727f7bb1c213b8fd6d6,995916a27bfa7727f7bb1c213b8fd6d6,7658738
36,829940408,data.csv,83,False,https://ndownloader.figsh.com/files/829940408,e9920d0f8dec339dece883cfb2c60d89,e9920d0f8dec339dece883cfb2c60d89,7658738
37,829940410,nasa_TerminatorMoon_Shet_960.jpg,226259,False,https://ndownloader.figsh.com/files/829940410,c979e567835d430e2e4b21b1fdc97a08,c979e567835d430e2e4b21b1fdc97a08,7658738
38,829940412,aggregate.jpg,1426597,False,https://ndownloader.figsh.com/files/829940412,2b4c90801e8d9a6b9fc92b7c69ebbc31,2b4c90801e8d9a6b9fc92b7c69ebbc31,7658738
