id,views,downloads,shares
14204639,69,44,0
14124341,57,59,0
7511792,301,53,0
19898035,24,44,0
19921695,33,52,0
14204636,74,51,0
6723020,909,257,0
14123636,326,189,0
7506404,165,40,0
5931307,175,33,0
11756838,325,90,0
7516073,289,63,0
19709503,70,26,0
14204702,153,61,0
14207720,54,383,0
4736581,885,178,1
7508963,191,82,0
7512938,303,262,0
4903085,858,206,1
9724649,1043,674,0
9724661,840,275,4
9724679,1255,478,3
9724688,1432,508,4
4528874,891,243,1
4524506,828,204,1
7186829,480,259,0
5327416,1432,289,2
14171063,44,372,0
4736491,1009,312,1
14204693,144,67,0
7508201,252,33,0
14170196,47,580,0
14170781,94,369,0
11965917,285,120,0
14173262,130,70,0
12664865,327,172,0
14171159,67,699,0
14204690,118,62,0
14156981,55,228,0
14166548,127,62,0
14291329,80,45,0
14173241,138,60,0
14125970,68,719,0
13702723,469,387,0
14111819,6849,17,0
8194910,138,108,0
5861295,186,70,0
5993392,7999,677,123
14125679,41,305,0
14157017,60,62,0
14204729,54,58,0
14165129,51,576,0
7512602,285,36,0
14270907,65,31,0
7512716,372,245,0
7506386,210,177,0
14172677,65,803,0
14128835,99,1012,0
14125808,63,1190,0
14204768,99,761,0
20170349,9,10,0
14164145,57,1214,0
14291322,89,34,0
4736578,738,145,1
14171096,65,901,0
14153786,126,1338,0
16634947,208,90,0
14153696,77,65,0
14170142,49,54,0
14171042,57,21,0
6723464,436,1,0
14061719,73,32,0
14291313,78,123,0
12681713,325,4,0
7515083,80,29,0
11966358,133,43,0
7510967,199,109,0
11965752,110,42,0
7512893,139,26,0
14204669,63,120,0
7516013,322,59,0
14167295,66,53,0
14173193,62,152,0
14173265,58,54,0
7510385,91,30,0
12923720,141,10,0
9796163,115,37,0
5862237,246,138,0
8195072,262,46,0
7508609,131,40,0
7516304,207,112,0
7518095,280,109,0
13325285,198,0,0
14204711,41,61,0
7020077,264,526,0
10008734,577,302,1
7591610,175,42,0
11966346,251,32,0
14153831,137,53,0
7899908,249,63,0
7506407,186,28,0
9795899,158,34,0
14207708,52,51,0
14153705,113,282,0
4909406,1102,283,1
4909409,620,194,1
7516358,386,110,0
7506530,270,40,0
14170316,75,87,0
14166644,64,1018,0
8195003,148,27,0
5999141,130,49,0
7508681,165,89,0
4909394,822,258,1
14171006,154,88,0
6723635,462,369,0
20103512,26,7,0
8195069,182,47,0
14171648,88,794,0
14128901,91,561,0
14153690,102,172,0
14167268,64,100,0
8309237,799,373,0
7515194,194,74,0
14171060,50,536,0
14291340,111,107,0
19921856,33,65,0
9795881,159,40,0
14171138,62,912,0
11267180,225,57,0
8227511,471,290,0
19899015,40,69,0
14171120,51,610,0
7514804,159,16,0
14061704,91,266,0
14156972,72,290,0
14156990,81,104,0
9724634,973,431,0
14207642,80,58,0
14291337,75,51,0
5931298,157,104,0
13133369,262,135,0
13133402,344,93,0
13702921,439,369,0
14204462,57,225,0
13701373,466,609,0
4528853,814,223,1
6062870,568,253,0
10257962,287,76,0
7519445,195,34,0
9741263,724,343,0
8194892,229,27,0
8127530,113,31,0
7514603,220,61,0
14153777,91,566,0
14153729,96,558,0
13489614,303,231,0
9741272,1022,374,3
14167334,41,58,0
14061758,72,605,0
14124386,44,134,0
19899105,22,60,0
14166584,78,778,0
14171081,67,662,0
14171135,49,1212,0
7146614,3474,487,1
7710845,270,67,0
14170820,73,386,0
14125712,108,1030,0
6723566,410,214,0
14204456,134,57,0
6104738,1430,264,4
19919378,28,1,0
19447511,15,0,0
3175057,1468,316,0
12090642,81,410,0
13634555,154,16,0
3502643,244,68,0
5285542,228,126,0
105657,363,246,0
1195885,482,234,0
1189400,603,97,0
105660,414,207,0
1619730,244,26,0
14376788,98,16,0
105661,388,241,0
105656,350,201,0
3462758,492,236,0
828580,395,244,0
8256539,47,187,0
1558059,1392,105,0
714929,704,50,1
7476374,82,25,0
19085420,21,1,0
991714,423,205,0
16641487,36,4,0
3833523,484,238,0
17108336,23,0,0
1267326,202,127,0
4707430,444,0,0
19447739,10,0,0
5900302,76,27,0
13669838,20,3,0
3206473,161,20,0
12471752,86,26,0
155811,348,151,1
13200134,60,9,0
11471970,82,18,0
9943073,80,176,0
5017244,347,89,0
1480458,459,334,0
10053260,123,23,0
19085123,31,1,0
19635492,27,3,0
5633719,140,29,0
991712,518,369,0
5017247,472,268,0
12090444,104,528,0
98207,126,74,0
9929939,74,142,0
12456272,105,27,0
1363554,322,145,0
1466739,1058,114,0
4106325,992,80,0
1497924,1139,113,0
105659,367,203,0
655172,277,310,0
8256560,60,184,0
14445390,43,6,0
1195878,423,243,0
791593,902,99,0
96392,559,229,0
821207,319,70,0
840443,409,538,0
13338902,27,0,0
7409633,114,137,0
863807,5662,439,0
3511126,570,58,0
6344708,677,483,8
4240418,504,85,0
1305678,317,8,0
1081869,293,40,0
19078127,41,1,0
12090873,90,1855,0
15052152,27,4,0
3492404,681,342,0
4707463,679,72,0
1417846,768,346,0
1195880,467,252,0
19438448,66,14,0
1446141,2062,321,0
12921917,131,10,0
1281107,673,454,0
11393976,92,0,0
862946,693,374,0
863801,2044,149,0
17108309,25,0,0
11340614,81,134,0
1449297,333,43,0
661738,405,204,0
9980678,169,26,0
19085465,30,2,0
14627124,39,4,0
6104675,1149,363,1238
5766966,217,48,0
900340,607,30,0
1559142,519,211,0
17013569,29,5,0
16598075,42,5,0
16863988,46,7,0
6104684,805,285,7
3511131,505,30,0
947695,871,105,0
6204755,1491,327,12
1067080,1001,219,0
966460,468,224,0
96777,698,294,0
96649,332,267,0
1097578,1193,37,1
3080395,363,1,0
7744766,246,234,0
13076768,97,11,0
3980034,1290,227,0
816922,958,181,0
1476980,526,63,0
3980085,680,241,0
19308494,28,3,0
3511142,320,70,0
828504,530,132,0
19739371,73,8,0
1478814,301,62,0
863804,10521,1208,0
7392209,209,160,0
863803,4202,248,0
730644,2148,600,1
4990415,638,0,0
17163563,43,5,0
644485,821,151,0
1549714,848,189,0
1281096,451,309,0
6104690,1090,506,6
1101310,1325,318,0
756210,346,111,0
1061451,502,216,0
12471485,187,41,0
