,category,count
0,Climatology,38
1,Other environmental sciences not elsewhere classified,37
2,Other earth sciences not elsewhere classified,36
3,Statistics not elsewhere classified,16
4,"Forensic evaluation, inference and statistics",15
5,Conservation and biodiversity,10
6,Agronomy,10
7,Materials engineering not elsewhere classified,10
8,Genomics,9
9,Applied statistics,9
