id,title,parent_id,path,source_id,taxonomy_id,item_id
29038,Library and information studies not elsewhere classified,29016,/28804/29016/29038,461099,2000,5738367
25762,Terrestrial ecology,25746,/25692/25746/25762,310308,2000,5738365
25886,Animal physiology - biophysics,25870,/25692/25870/25886,310908,2000,5738361
26082,Human biophysics,26078,/25910/26078/26082,320802,2000,5738361
29674,High energy astrophysics and galactic cosmic rays,29662,/29660/29662/29674,510106,2000,5738359
29746,Astroparticle physics and particle cosmology,29744,/29660/29744/29746,510701,2000,5738359
29670,Galactic astronomy,29662,/29660/29662/29670,510104,2000,5738359
29680,Stellar astronomy and planetary systems,29662,/29660/29662/29680,510109,2000,5738359
29664,Astrobiology,29662,/29660/29662/29664,510101,2000,5735939
29666,Astronomical instrumentation,29662,/29660/29662/29666,510102,2000,5735939
29780,Space instrumentation,29768,/29660/29768/29780,510906,2000,5735939
